epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1774.16,1.64297,2.88539,1.58944,0.47957,0.25305,0.22861,0.12795,1.50725,2.06591,1.54836,0.000237059,0.000237059,0.000237059
2,3560.35,1.51642,2.18439,1.49038,0.4593,0.21104,0.20663,0.11109,1.55035,2.0821,1.5998,0.000470356,0.000470356,0.000470356
3,5224.78,1.56798,2.12174,1.55866,0.49712,0.2374,0.18869,0.10124,1.52385,2.16662,1.62245,0.000698941,0.000698941,0.000698941
4,6924.37,1.53289,2.10181,1.53278,0.43873,0.27205,0.22157,0.11687,1.56712,1.85289,1.611,0.000692794,0.000692794,0.000692794
5,8572.87,1.53651,1.98345,1.53236,0.44908,0.25277,0.24558,0.12509,1.53646,1.72389,1.60139,0.000685726,0.000685726,0.000685726
6,10280.4,1.51808,1.96128,1.51563,0.54509,0.25577,0.24724,0.13955,1.54327,1.75902,1.61109,0.000678657,0.000678657,0.000678657
7,12079.4,1.50113,1.92348,1.50908,0.44771,0.26977,0.24773,0.13557,1.55458,1.71959,1.62487,0.000671588,0.000671588,0.000671588
8,13786.7,1.50541,1.84721,1.51974,0.58308,0.29527,0.26346,0.14348,1.47474,1.64093,1.58341,0.00066452,0.00066452,0.00066452
9,15350,1.46952,1.81743,1.49149,0.62156,0.28687,0.2882,0.16192,1.46888,1.70012,1.56633,0.000657451,0.000657451,0.000657451
10,16903.6,1.4497,1.81977,1.48911,0.59686,0.29147,0.27713,0.16026,1.44106,1.55495,1.52652,0.000650383,0.000650383,0.000650383
11,18612.7,1.43578,1.73636,1.46677,0.49152,0.31523,0.29766,0.17406,1.44665,1.55133,1.55199,0.000643314,0.000643314,0.000643314
